house #,street,zipcode,lat,lon,neighborhood
8109,Boggy Ridge Drive,78748,30.1820175,-97.7950878009157,Dittmar - Cooper
8507,Caspian Drive,78749,30.199637,-97.8410568949153,Woodstone Village
950,Westbank Drive,78746,30.278182,-97.809151,Ledgeway
4208,Steck Avenue,78759,30.377557,-97.75756,Mesa Forest
807,Park Boulevard,78751,30.3015715,-97.7225160489583,Hyde Park
10109,Slaughter Creek Drive,78748,30.164789,-97.821223,Saddlewood Estates
601,Jet Lane,78742,30.235277,-97.677214,NA
4409,Jessamine Hollow,78731,30.348546,-97.7765788232484,Cat Mountain
8800,Daffan Lane,78724,30.309613,-97.61381,NA
4501,Ridge Oak Drive,78731,30.329953,-97.7697967763158,Balcones Park
9600,Great Hills Trail,78759,30.395413,-97.754155,NA
1401,Phillips Court,78733,30.302666,-97.870396,NA
11201,Long Summer Drive,78754,30.3593365,-97.6406345620968,Pioneer Crossing East
504,East Braker Lane,78753,30.3782015,-97.6787475576923,Eubank Acres
5703,Coolbrook Drive,78724,30.304837,-97.6563889318182,Las Cimas
3300,Jones Road,78745,30.229567,-97.811489,Sunset Oaks
5301,East Stassney Lane,78744,30.1923891,-97.7382645433131,McKinney
1021 1/2,East 11th Street,78702,30.269186,-97.729523,Central East Austin
10019,Interstate 35 Frontage Road,78747,30.15444,-97.790536,Southpark Meadows
4611,East Martin Luther King Junior Boulevard,78721,30.2857195,-97.6816040568662,MLK-183
3109,Westlake Drive,78746,30.3162145,-97.7791009637152,Island Way
511,Harris Avenue,78705,30.2954805,-97.7308405,Hancock
9420,Lightwood Loop,78748,30.188392,-97.8386480811037,Pheasant Run
9780,Sprinkle Road,78754,30.3506171077793,-97.6555644242462,Cameron Industrial
6404,Convict Hill Road,78749,30.2268215,-97.8703961714015,Legend Oaks
6113,Charis Court,78735,30.2629115,-97.8425645588812,NA
1400,Ridgecrest Drive,78746,30.317799,-97.8008149791667,Windsong Estates
9005,Wintercreeper Cove,78735,30.283963,-97.878098,NA
11339,Taylor Draper Lane,78759,30.4156035,-97.7541289390496,Angus Valley
3616,Sand Dunes Avenue,78742,30.19891,-97.692925,NA
6301 1/2,I 35 Frontage Road,78744,30.193555,-97.767159,Circle S Ridge
7002,Millrace Drive,78724,30.307853,-97.6553904722222,Las Cimas
2401,South Lakeshore Boulevard,78741,30.242532,-97.720374,Lakeshore
7076,Moores Crossing Boulevard,78617,30.1587771428571,-97.6521385306122,Stoney Ridge
1500,Dittmar Road,78748,30.1872635,-97.8097105,Dittmar Crossing
4051,Ben Garza Lane,78749,30.2215240817142,-97.8335144410709,Williamson
2214,West Braker Lane,78758,30.39342115,-97.7135348312654,Quail Hollow
7509,Escala Drive,78735,30.2706705,-97.8588718958037,NA
5621,Republic of Texas Boulevard,78735,30.2504825,-97.8420464821428,NA
2505,El Greco Cove,78703,30.304514,-97.7749263666667,Tarrytown
2801,Presidential Boulevard,78719,30.209864,-97.664559,NA
5416,Farm-to-Market Road 973,78724,30.265472,-97.606796,Imperial Valley
9722,Great Hills Trail,78759,30.394924,-97.752016,NA
7316,Turnbuoy Drive,78730,30.3448185,-97.8222996946069,NA
4705,Avenue F,78751,30.311256,-97.7248575,North Loop
3401,Oak Springs Drive,78721,30.27365,-97.6962474743108,Rosewood
1515,Capital of Texas Highway,78746,30.27321,-97.8167794921053,Ledgeway
5804,Wier Hills Road,78735,30.252965,-97.881104,NA
5907,Blanco River Pass,78749,30.214827,-97.8700489035714,Legend Oaks
9009,Wintercreeper Cove,78735,30.283668,-97.878448,NA
4300,Eskew Drive,78749,30.20887,-97.8466699571429,Woodstone Village
6606,Hergotz Lane,78742,30.2453715,-97.684482,Johnston Terrace
6214,Northern Dancer Drive,78746,30.319624,-97.8177743316326,Windsong Estates
5423,Fairmont Circle,78745,30.2181915,-97.799561529347,Westgate
3406,Jefferson Street,78731,30.307469,-97.7521121481768,Bryker Woods
9702,Hansford Drive,78753,30.359272,-97.6816657166667,NA
1735,Dittmar Road,78748,30.1855865944278,-97.8133568839442,Dittmar Crossing
5525,City Park Road,78730,30.361548,-97.812951,Long Canyon
3405,River Road,78703,30.306329,-97.7726768362369,Tarrytown
2912,Dillionhill Drive,78745,30.2123165,-97.8173800618391,Sunburst
1309,Dwyce Drive,78757,30.33929,-97.7264594082569,Abercrombie
5507,Colton Road,78719,30.175876,-97.688409,NA
6903,Agave Cove,78750,30.37508,-97.8001830944976,Angel Pass
2626,Gracy Farms Lane,78758,30.4041909661025,-97.7111774555095,North Star
5603,Shoal Creek Boulevard,78757,30.3321595,-97.746757424858,Allandale
820,Blackson Avenue,78752,30.334549,-97.700313,St. Johns
3703,Jefferson Street,78731,30.308846,-97.750692,Bryker Woods
402,Buena Vista Circle,78746,30.2861505,-97.8000636216463,City View
1000,Little Texas Lane,78745,30.198189,-97.767517,Sweetbriar
5909,Northern Dancer Drive,78746,30.318187,-97.813962,Windsong Estates
4000,Bluffridge Circle,78759,30.385074,-97.7471481268116,NA
5600,Sunshine Drive,78756,30.32626665,-97.7306224586645,Broadacres
2502,Galewood Place,78703,30.3015555,-97.7628038995902,Tarrytown
4805,Lyons Road,78702,30.259186,-97.6966268636364,Govalle
9606,Leaning Rock Circle,78730,30.384675,-97.832882,Long Canyon
9312,Sydney Marilyn Lane,78748,30.166813,-97.795915,Southpark Meadows
204,Tumbleweed Trail North,78733,30.326562,-97.874756,Austin Lake Hills
7303,Dan Pass,78744,30.1789395,-97.7665447453704,Meadows Lake
11200,Taylor Draper Lane,78759,30.410016,-97.750932,Angus Valley
7201,RM 2222,78730,30.369185,-97.802453,Angel Pass
9333,Brown Lane,78754,30.3477335,-97.6690176776316,Cameron Industrial
2639,Gwendolyn Lane,78748,30.174659,-97.8374353831169,Tanglewood Forest
11901,River Oaks Trail,78753,30.382805,-97.6650886724599,North Oaks
5409,Wasson Road,78745,30.2057055,-97.7731133029491,East Congress
2928,Norfolk Drive,78745,30.2000815,-97.8266094477612,Cherry Creek
9428,Parkfield Drive,78758,30.368523,-97.706426,North Austin Civic Association
1701,Victoria Drive,78721,30.2828425,-97.6892384941558,MLK
728,Barton Creek Boulevard,78735,30.299692,-97.8474477628866,NA
5408,Southwest Parkway,78735,30.244219,-97.841363,Williamson
2106,Quicksilver Boulevard,78744,30.1777985,-97.7689441914063,Silverstone
6178,Blue Goose Road,78653,30.3491631319237,-97.6284556668341,Harris Branch
1324,Frontier Valley Drive,78741,30.227351,-97.692818,Montopolis
3607,Fall Trail,78731,30.318781,-97.772192,Balcones Park
9807,Brown Lane,78754,30.3543415,-97.6671088104004,Cameron Industrial
9310,Burleson Road,78719,30.167874,-97.679602,NA
6001,Sandshof Drive,78724,30.293278,-97.64802,Colony Park
9508,Presa Abajo Drive,78733,30.3393234961897,-97.8594520336172,Austin Lake Hills
9706,Saugus Lane,78733,30.346038,-97.860227,Austin Lake Hills
3803,Woodcutters Way,78746,30.3272965,-97.7852805192308,Balcones Park
5007,Arax Cove,78731,30.37063,-97.7745734096774,North Cat Mountain
13101,Harold Green Road,78725,30.227657,-97.612128,Garden Valley Village
1711,Holly Street,78702,30.253673,-97.727457,East Cesar Chavez
1104,Penion Drive,78748,30.157462,-97.8239702438272,Saddlewood Estates
3222,Smoky Ridge,78730,30.337553,-97.8195714591912,NA
1611,Nickerson Street,78704,30.2467615,-97.7491915124889,Travis Heights
1799,City Park Road,78730,30.332188,-97.83922,Long Canyon
1623,West 10th Street,78703,30.2796435,-97.7615119748563,Clarksville
6836,Austin Center Boulevard,78731,30.351306,-97.7522317629063,Highland Hills
2101,East 18th Street,78702,30.2787525,-97.7187179946932,Chestnut
6307,Moonglow Drive,78724,30.295522,-97.6449439671827,Park Place
1445,East 51st Street,78723,30.306854027027,-97.7053027297297,Mueller
7483,Cielo Serena Trail,78724,30.2935596727931,-97.6404085769812,Park Place
9610,Westminster Glen Avenue,78730,30.366673,-97.8444720129703,River Place
6100,Grove Boulevard,78741,30.243086,-97.694377,Govalle
8711,Coastal Drive,78749,30.1994575,-97.8470932712766,Woodstone Village
1204,Taylor Street,78702,30.256702,-97.7334306199833,East Cesar Chavez
6319,South Pleasant Valley Road,78744,30.183445,-97.744605,Nuckols Crossing
8844,Chalk Knoll Drive,78735,30.2961335,-97.865975,NA
3400,Toro Canyon Road,78746,30.325872,-97.791895,Bee Cliffs
10500,Brownie Drive,78753,30.3700085,-97.6832174365116,North Lamar
10439,FM 812;FM 973,78719,30.14947,-97.673185,NA
1950,Webberville Road,78721,30.2847345,-97.6729396449354,MLK-183
2100,Polaris Avenue,78757,30.3681105,-97.7243642087766,Wooten
5803,Oakclaire Drive,78735,30.241021,-97.8513756434108,NA
2305,Manana Street,78730,30.328683,-97.82765824,NA
7601,Shelton Road,78725,30.261306,-97.6630925673326,Johnston Terrace
10909,Sea Hero Lane,78748,30.150415,-97.809967,Stablewood at Slaughter Creek
7803,Dee Gabriel Collins Road,78744,30.174792,-97.704663,Martinshore
7211,Circle South Road,78745,30.184814,-97.779054171123,Sweetbriar
4901,Whitethorn Court,78746,30.325498,-97.7885156073781,NA
4004,Balcones Drive,78731,30.3212255,-97.7706025730519,Balcones Park
8026,Tee Drive,78747,30.1579596530612,-97.7486818367347,Thaxton Place
611,East Braker Lane,78753,30.3770895,-97.6779846466877,Eubank Acres
8043,Johnny Morris Road,78724,30.3144276465843,-97.6353366147733,North Point
2310,Bitter Creek Drive,78744,30.183352,-97.7596868701215,Indian Hills
16,Cicero Lane,78746,30.314685,-97.835729,NA
3816,Southway Drive,78704,30.231029,-97.775636,South Lamar
8360,Brodie Lane,78745,30.1999426829268,-97.8391328231707,Woodstone Village
5439,Spicewood Springs Road,78759,30.383586,-97.771603,North Cat Mountain
5104,Beverly Hills Drive,78731,30.3371415,-97.7668534726563,Balcones Park
4805,Emma Browning Avenue,78617,30.181157,-97.665618,NA
3504,Duval Street,78751,30.2980205,-97.73053997,Hyde Park
402,Oak Ridge Drive,78746,30.286155,-97.7973626591615,City View
1416,Webberville Road,78721,30.279981,-97.6817246564898,MLK-183
5700,Cameron Road,78723,30.315542,-97.702291,Ridge Top
NA,Red River Street,78751,30.26963425,-97.7357490996778,Medical District
10500,Thaxton Road,78747,30.125012,-97.743053,Thaxton Place
604,Masterson Pass,78753,30.370947,-97.691482,North Lamar
3457,Lake Austin Boulevard,78703,30.2881785,-97.7842897678618,Westfield
10024,Capital of Texas Highway,78759,30.3915096,-97.73731135,NA
900,Lost Canyon Drive,78746,30.3074785,-97.8008553740809,Windsong Estates
5205,South Pleasant Valley Road,78744,30.195858,-97.744527,Franklin Park
2401,West William Cannon Drive,78745,30.204952,-97.811403,Cherry Meadows
2936,Oestrick Lane,78733,30.346906,-97.848685,Austin Lake Hills
5701,Springdale Road,78723,30.299657,-97.6703727366667,Pecan Springs Springdale
4820,Trail Crest Circle,78735,30.2496895,-97.8296303525074,NA
1504,East 37th Street,78722,30.290867,-97.7156560281385,Cherrywood
5816,Harold Court,78721,30.269746,-97.675717,MLK-183
10514,Wylie Drive,78748,30.1640525,-97.8255385,Saddlewood Estates
2205,Rabb Glen Street,78704,30.250528,-97.7793715194805,Barton Hills
6315,Pathfinder Drive,78759,30.403989,-97.7708207420635,NA
10001,Middle Fiskville Road,78753,30.363174,-97.6821135,Windsor Hills
4016,Pinckney Street,78722,30.292299,-97.7033565166667,Mueller
203,Canyon Rim Drive,78746,30.299111,-97.8390244248649,NA
9018,Tuscany Way,78754,30.335412,-97.6601471264804,Tuscany Business Park
7920,Rockwood Lane,78757,30.3613715,-97.7382442479727,North Shoal Creek
12166,Metric Boulevard,78727,30.406776,-97.6978433854545,Village at Walnut Creek
3600,Agape Lane,78735,30.266114,-97.8372434398165,NA
6104,Marigold Terrace,78741,30.2312975,-97.7025695,Montopolis
6304,East Stassney Lane,78744,30.1965849130972,-97.7249249260608,McKinney
3203,Bruce Drive,78735,30.236256,-97.8073835023474,Flournoy Acres
7107,Grover Avenue,78757,30.3413385,-97.7221029344477,Crestview
12220,Tanglewild Drive,78758,30.4066255,-97.6928687645833,Village at Walnut Creek
7877,Lakewood Drive,78750,30.380163,-97.7936341962366,North Cat Mountain
10106,Dianella Lane,78759,30.409616,-97.774525958,NA
109,Reveille Road,78746,30.282064,-97.806268,Strother Mountain
2306,East Cesar Chavez Street,78702,30.255432,-97.718449109375,Holly
1039,Nile Street,78702,30.268518,-97.7118975560684,Rosewood
1704,Raven Drive,78752,30.3269365,-97.683955184367,Coronado Hills
5301,Fairhill Drive,78745,30.2187805,-97.796444726626,Westgate
11005,Baltus Drive,78758,30.3861425,-97.7026516210938,Quail Hollow
716,Cardinal Lane,78704,30.233184,-97.7677763282299,Galindo
125,Brandon Way,78733,30.3213,-97.859953,Austin Lake Hills
8604,Georgian Drive,78753,30.352546,-97.6999338285714,Georgian Acres
5706,Eagle Cliff,78731,30.353786,-97.793624,Cat Mountain
3620,Ranch Creek Drive,78730,30.34958,-97.841929,NA
NA,San Marcos Street,78767,30.2550804,-97.7380295660232,Rainey Street Historic District
4514,Rimrock Trail,78723,30.2893165,-97.6847843073171,Pecan Springs Springdale
4101,Ramsey Avenue,78756,30.3116445,-97.7460387125,Rosedale
6604,Convict Hill Road,78749,30.2282555,-97.8746818657891,Legend Oaks
12200,Tyson Cove,78758,30.4093615,-97.7010836751008,North Star
4108,Todd Lane,78744,30.210987,-97.738694,Southeast Austin
11340,Platt Lane,78725,30.23738,-97.638169,Garden Valley Village
510,Barton Springs Road,78704,30.258745,-97.749474,Bouldin
806,Theresa Avenue,78703,30.280289,-97.7658300059524,Clarksville
6606,Krollton Drive,78745,30.208071,-97.8112533036099,Whispering Oaks
1619,Woodward Street,78741,30.22007025,-97.7453631513859,St. Edwards
4513,Ruiz Street,78723,30.297726,-97.701753,Mueller
1713,Old East Riverside Drive,78741,30.243717,-97.7304411218487,Lakeshore
4504,Avenue G,78751,30.308187,-97.7264730952381,North Loop
1301,Capital of Texas Highway,78746,30.2795645,-97.8190699421154,Ledgeway
11511,Trinity Hill Drive,78753,30.3793855,-97.6699965070225,North Oaks
1902,Rabb Glen Street,78704,30.2488565,-97.7751175104128,Barton Hills
9100,FM 812,78719,30.1618995,-97.6867316289712,NA
NA,Guadalupe Street,78752,30.32469655,-97.7236985932169,Skyview
8105,Canoga Avenue,78724,30.285477,-97.6374531302521,Loma Vista
7207,Old Bee Cave Road,78735,30.2396478584864,-97.8761941984172,West Oak Hill
4409,Walhill Lane,78759,30.382188,-97.7574310107143,Mesa Forest
4004,Shadow Oak Lane,78746,30.332301,-97.7889127789256,Cat Mountain
5709,McCarty Lane,78749,30.2308336305221,-97.8555900763052,Sunset
8904,Yucca Mountain Road,78759,30.4000765,-97.7825253035191,NA
5534,Blue Bluff Road,78724,30.2701522321099,-97.6166166985277,Imperial Valley
11525,Stonehollow Drive,78758,30.396399,-97.708552,Quail Hollow
2710,Bristol Drive,78723,30.311053,-97.678437,University Hills
1127,Terry Drive,78721,30.268707,-97.679524,Johnston Terrace
4506,Eby Lane,78731,30.3392475,-97.7788973884484,Cat Mountain
10439,FM 812;FM 973,78719,30.14947,-97.673185,NA
9725,Interstate 35 Frontage Road,78744,30.158927,-97.788421,South Bend
5304,Bennett Avenue,78751,30.313352,-97.71233365,Ridge Top
7024,Kings Row,78746,30.300947,-97.8424871046546,NA
8700,Crystal Creek Circle,78746,30.2996265,-97.8595097083719,NA
8001,Delwau Lane,78725,30.263102,-97.658653,MLK-183
8920,Ramirez Lane,78742,30.2457912,-97.6477541,NA
7496,Cielo Serena Trail,78724,30.2936262084026,-97.6401591809564,Park Place
8402,Beaver Brook Lane,78748,30.1781875,-97.7936445871212,Dittmar - Cooper
600,Beardsley Lane,78746,30.305885,-97.851039,NA
300,Edwin Lane,78742,30.249781,-97.658206,NA
5752,North Scout Island Circle,78731,30.353983,-97.793236,Cat Mountain
6600,West William Cannon Drive,78735,30.241273,-97.861133,Legend Oaks
713,Kinney Avenue,78704,30.259296,-97.7634640714286,Zilker
5600,Decker Lane,78724,30.2807365,-97.6360135101351,The Woodlands
1707,Overhill Drive,78721,30.284702,-97.6842312125,MLK
2412,Burleson Court,78741,30.2294545,-97.7348231659341,Parker Lane
5634,Sedona Drive,78759,30.3972745,-97.7655672008291,NA
