zid,address,zipcode,alat,alon,valuation,value_change,value_range_high,value_range_low,value_percentile,sqft,lot_sqft,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price
58316011,8109 Boggy Ridge Drive,78748,30.182015,-97.795063,278601.0,9703,292531,264671,0,1476,6003,1979.0,,3.0,,
29498766,8507 Caspian Drive,78749,30.199658,-97.841024,313492.0,-1374,329167,297817,0,1654,15141,1983.0,,,,
2132336893,950 Westbank Drive,78746,30.278708,-97.808911,848997.0,27409,1256516,687688,0,1582,,,,3.0,,
29400629,807 Park Boulevard,78751,30.301584,-97.722499,556665.0,-39191,629031,517698,0,1905,12685,1936.0,,,,
29462460,601 Jet Lane,78742,30.235276,-97.677214,258682.0,3979,276790,240574,0,1015,161128,1945.0,,,,
29349645,4409 Jessamine Hollow,78731,30.348537,-97.776564,519926.0,949,623911,483531,0,2900,5149,1977.0,,,,
29343151,4501 Ridge Oak Drive,78731,30.329848,-97.769843,2625759.0,-178712,3649805,2415698,0,10778,45011,1960.0,,,,
70339207,11201 Long Summer Drive,78754,30.359344,-97.640621,297039.0,3970,311891,282187,0,3183,7867,2006.0,,,,
58302468,504 East Braker Lane,78753,30.378232,-97.67872,254661.0,-3921,277580,236835,0,1264,9500,1959.0,,,,
29402786,5703 Coolbrook Drive,78724,30.304843,-97.656442,360639.0,-2969,385884,339001,0,2282,9936,1972.0,,,,
62607614,5301 East Stassney Lane,78744,30.191144,-97.731127,167191.0,-1704,185582,147128,0,1169,6961,2002.0,,,,
29340521,3109 Westlake Drive,78746,30.316228,-97.778918,2487931.0,-102288,2761603,2338655,0,5804,128493,1973.0,,,,
29398288,511 Harris Avenue,78705,30.29546,-97.730816,505603.0,326,546051,480323,0,1728,5131,1937.0,,,,
29504377,9420 Lightwood Loop,78748,30.188405,-97.838502,445768.0,-6706,472514,423480,0,3245,19410,1995.0,,,,
29481332,6404 Convict Hill Road,78749,30.226884,-97.870379,389527.0,1,409003,370051,0,2261,11935,1995.0,,3.0,,
64475763,6113 Charis Court,78735,30.262235,-97.842581,1932385.0,8818,2144947,1681175,0,7171,96572,2003.0,,5.0,11/01/2013,
29341301,1400 Ridgecrest Drive,78746,30.31778,-97.800739,1315668.0,-11685,1420921,1197258,0,4286,46914,2003.0,,4.0,05/01/2007,1200000
29367535,11339 Taylor Draper Lane,78759,30.415426,-97.75429,589813.0,12370,707776,495443,0,2299,115778,1959.0,,,,
79982248,3616 Sand Dunes Avenue,78742,30.19891,-97.692925,219810.0,852,235197,202225,0,1324,5924,2006.0,,3.0,,
29404508,7002 Millrace Drive,78724,30.30785,-97.655392,232675.0,641,272230,216388,0,1972,8624,1980.0,,0.0,,
29460810,2401 South Lakeshore Boulevard,78741,30.241655,-97.720707,,,,,0,701,611887,1968.0,,1.0,,
64749934,7509 Escala Drive,78735,30.270642,-97.858661,2846753.0,-101866,3273766,2647480,0,10828,81282,2004.0,,6.0,,
29474308,5621 Republic of Texas Boulevard,78735,30.250418,-97.842065,632905.0,23301,708854,550627,0,3360,9321,2000.0,,5.0,,
29338862,2505 El Greco Cove,78703,30.30452,-97.774903,1571123.0,-31027,1681102,1414011,0,4934,10102,1982.0,,,,
70352233,7316 Turnbuoy Drive,78730,30.344875,-97.822436,1182530.0,8416,1277132,1087928,0,4267,44889,2006.0,,,03/18/2009,100000
58301656,4705 Avenue F,78751,30.311294,-97.724873,647063.0,-12136,679416,601769,0,2490,5183,2000.0,,3.0,06/24/1999,181500
29386902,3401 Oak Springs Drive,78721,30.273597,-97.696247,361706.0,-15014,408728,325535,0,1365,8189,1938.0,,3.0,03/28/2014,128000
29474357,5804 Wier Hills Road,78735,30.253076,-97.880705,298610.0,24339,450901,206041,0,432,282012,1996.0,,,,
29486832,5907 Blanco River Pass,78749,30.214798,-97.870105,322329.0,-2739,341669,306213,0,1501,8058,1986.0,,4.0,,
29331348,9009 Wintercreeper Cove,78735,30.283667,-97.878447,1723748.0,91808,1930598,1551373,0,6735,68347,1991.0,,6.0,,
29490510,4300 Eskew Drive,78749,30.208875,-97.846647,355840.0,6113,373632,327373,0,2147,9474,1984.0,,,,
122962433,6606 Hergotz Lane,78742,30.245467,-97.684546,286423.0,12931,326522,252052,0,1792,7406,1932.0,,4.0,,
29341445,6214 Northern Dancer Drive,78746,30.319574,-97.81776,1323850.0,-39146,1390042,1164988,0,5058,27033,1998.0,,6.0,,
58313920,5423 Fairmont Circle,78745,30.218211,-97.799565,390056.0,-570,409559,370553,0,1540,9622,1969.0,,,,
29425510,9702 Hansford Drive,78753,30.359298,-97.681643,217088.0,-6639,227942,199721,0,1094,7793,1970.0,,,06/12/2014,135100
60136436,5525 City Park Road,78730,30.362464,-97.813869,1340828.0,-1494,1448094,1166520,0,4616,133075,2002.0,,3.0,05/01/2015,
29338835,3405 River Road,78703,30.306373,-97.772654,1737657.0,15033,1946176,1581268,0,4694,18099,2012.0,,3.0,,
58314897,2912 Dillionhill Drive,78745,30.212328,-97.81744,338833.0,5312,369328,298173,0,1427,7762,1976.0,,4.0,,
29416416,1309 Dwyce Drive,78757,30.33928,-97.726457,440887.0,-1862,462931,418843,0,1222,7632,1957.0,,,,
