Zillow ID,address,zipcode,alat,alon,valuation,sqft,neighborhood
29498621,8113 West Gate Boulevard,78745,30.197589,-97.828106,265572.0,940.0,Cherry Creek
29440641,2109 Red Stone Lane,78727,30.418454,-97.69619,249696.0,1359.0,Tomanet Estates
29345444,9 Glen Rock Drive,78738,30.341187,-97.984049,472040.0,2896.0,
29613796,8333 Alvin High Lane,78729,30.460441,-97.761118,307384.0,1983.0,Hunter's Chase
29358809,5300 Valburn Circle,78731,30.374096,-97.775259,941669.0,4376.0,North Cat Mountain
29471589,11125 Maha Loop Road,78617,30.082419,-97.664366,212919.0,1960.0,
29352791,102 Javelin Drive,78734,30.360267,-97.998646,370772.0,2088.0,
64884422,7220 Cielo Azul Pass,78726,30.41662,-97.874616,2592410.0,6060.0,
29417097,2000 Brentwood Street,78757,30.340507,-97.734626,445342.0,1051.0,Abercrombie
83820494,12220 Dwight Eisenhower Street,78653,30.354256,-97.526464,,1512.0,Presidential Meadows
144341633,1253 Dunlap Road South,78725,30.22287,-97.566622,361665.0,2550.0,Chaparral Crossing
29329859,1518 Palma Plaza,78703,30.282597,-97.759718,952322.0,2648.0,Enfield
29458788,403 Academy Drive,78704,30.25157,-97.7444,727568.0,3476.0,Travis Heights
89657079,322 Gold Star Drive,78613,30.520886,-97.790929,327874.0,2736.0,
29512165,10308 Manchaca Road,78748,30.167892,-97.827473,791901.0,1614.0,Saddlewood Estates
64905169,9438 Zyle Road,78737,30.201895,-97.936138,399616.0,2128.0,Sunrise Country
64604989,4713 Mirador Drive,78735,30.260976,-97.869399,,5891.0,
70332867,12405 Gun Metal Drive,78652,30.150896,-97.857849,485188.0,3642.0,Shady Hollow
111967826,1712 Cinnamon Path,78704,30.242114,-97.77598,462431.0,2314.0,South Lamar
55291209,17407 Breakwater Drive,78645,30.442393,-97.936912,2939610.0,6721.0,
29383775,16905 Decker Creek Drive,78653,30.248605,-97.550027,213631.0,1650.0,Chaparral Crossing
58310350,19828 Panther Drive,78660,30.482014,-97.592149,488194.0,3584.0,
70352618,12812 Capella Trail,78732,30.363136,-97.908427,578763.0,3742.0,
144978511,13512 Gregg Manor Road,78653,30.374486,-97.578787,,,Wildhorse Creek
88017703,900 Brighton Place,78665,30.526467,-97.642224,264590.0,2610.0,
