house #,street,zipcode,lat,lon,neighborhood
4704,Carter Lane,78744,30.205996,-97.7352885531609,Southeast Austin
9302,Creeks Edge Circle,78733,30.295867,-97.8844720587302,NA
5350,West US Highway 290,78735,30.2372955,-97.8375895227211,Sunset Oaks
1404,Green Pastures Cove,78725,30.222968,-97.6283230819783,Garden Valley Village
7308,Carver Avenue,78752,30.3325235,-97.698402548495,St. Johns
1203,Cometa Street,78721,30.278904,-97.68943,MLK
3955,Westlake Drive,78731,30.3289255,-97.7807829791667,Balcones Park
9909,Thaxton Road,78747,30.130941,-97.735565,Thaxton Place
1200,Capital of Texas Highway,78746,30.281526,-97.823011,Ledgeway
3242,Lockhart Highway,78744,30.20248564,-97.68332272,NA
