school name,school county,alat,alon
COWAN ELEMENTARY,TRAVIS COUNTY,30.197589,-97.828106
PARMER LANE ELEMENTARY,TRAVIS COUNTY,30.418454,-97.69619
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.341187,-97.984049
LIVE OAK ELEMENTARY,WILLIAMSON COUNTY,30.460441,-97.761118
DOSS ELEMENTARY,TRAVIS COUNTY,30.374096,-97.775259
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.082419,-97.664366
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.360267,-97.998646
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.41662,-97.874616
BRENTWOOD ELEMENTARY,TRAVIS COUNTY,30.340507,-97.734626
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.22287,-97.566622
MATHEWS ELEMENTARY,TRAVIS COUNTY,30.282597,-97.759718
TRAVIS HTS ELEMENTARY,TRAVIS COUNTY,30.25157,-97.7444
RONALD REAGAN ELEMENTARY,WILLIAMSON COUNTY,30.520886,-97.790929
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.167892,-97.827473
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.201895,-97.936138
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.150896,-97.857849
ZILKER ELEMENTARY,TRAVIS COUNTY,30.242114,-97.77598
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.442393,-97.936912
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.248605,-97.550027
MURCHISON ELEMENTARY,TRAVIS COUNTY,30.482014,-97.592149
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.363136,-97.908427
DOUBLE FILE TRAIL ELEMENTARY,WILLIAMSON COUNTY,30.526467,-97.642224
MATHEWS ELEMENTARY,TRAVIS COUNTY,30.280848,-97.755754
SPICEWOOD ELEMENTARY,TRAVIS COUNTY,30.428063,-97.800195
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.416679,-97.757561
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.122635,-97.732805
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.379243,-97.508738
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.304669,-97.804143
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.272878,-97.465506
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.325966,-97.994969
