school name,school county,alat,alon
NA,NA,30.207539,-97.47977
NA,NA,30.22743,-97.671227
NA,NA,30.422856,-97.937729
NA,NA,30.283358,-97.470402
NA,NA,30.222471,-97.861467
NA,NA,29.994435,-97.817311
NA,NA,30.167657,-97.841474
NA,NA,30.463773,-97.582359
NA,NA,30.342125,-97.46214
NA,NA,30.351706,-97.86869
NA,NA,30.221994,-97.697508
NA,NA,30.412427,-97.487085
NA,NA,30.205857,-97.993837
NA,NA,30.293917,-97.722423
NA,NA,30.102453,-97.715634
NA,NA,30.277218,-97.822718
NA,NA,30.331093,-97.984181
NA,NA,30.502291,-97.611439
NA,NA,30.211595,-97.884089
NA,NA,30.434277,-97.813068
NA,NA,30.312342,-97.915063
NA,NA,30.42414,-97.770521
NA,NA,30.499245,-97.75848
NA,NA,30.225636,-97.930387
NA,NA,30.365201,-97.947601
NA,NA,30.46751,-97.777781
NA,NA,30.162735,-97.830184
NA,NA,30.275142,-97.687216
NA,NA,30.472371,-97.635489
NA,NA,30.301989,-97.889661
NA,NA,30.248169,-97.927411
NA,NA,30.126537,-97.595949
NA,NA,30.345993,-97.984056
NA,NA,30.073727,-97.641486
NA,NA,30.362823,-97.727361
NA,NA,30.409537,-97.778461
NA,NA,30.367713,-97.946765
NA,NA,30.41307,-97.734227
NA,NA,30.154854,-97.835661
NA,NA,30.257982,-97.564298
NA,NA,30.324023,-97.875768
NA,NA,30.204762,-97.849337
NA,NA,30.302388,-97.486288
NA,NA,30.375024,-97.647878
NA,NA,30.281806,-97.509946
NA,NA,30.292588,-97.688935
NA,NA,30.39459,-97.803899
NA,NA,30.308927,-97.89547
NA,NA,30.497203,-97.893085
NA,NA,30.192445,-97.936777
NA,NA,30.322246,-97.543391
NA,NA,30.354862,-97.985449
NA,NA,30.310654,-97.923462
NA,NA,30.439951,-97.635437
NA,NA,30.289209,-97.819391
NA,NA,30.359756,-97.698465
NA,NA,30.454033,-97.646783
NA,NA,30.417372,-97.892011
NA,NA,30.36509,-97.494339
NA,NA,30.448431,-97.51333
NA,NA,30.318589,-97.787579
NA,NA,30.22513,-97.71684
NA,NA,30.225394,-97.565191
NA,NA,30.490017,-97.920008
NA,NA,30.323711,-97.858718
NA,NA,30.511021,-97.906314
NA,NA,30.469328,-97.780086
NA,NA,30.364534,-97.967053
NA,NA,30.477766,-97.546907
NA,NA,30.426126,-97.921815
NA,NA,30.156554,-97.738811
NA,NA,30.429915,-97.826324
NA,NA,30.262539,-97.76191
NA,NA,30.468736,-97.784129
NA,NA,30.157679,-97.864923
NA,NA,30.299334,-97.884137
NA,NA,30.172525,-97.862103
NA,NA,30.24546,-97.551099
NA,NA,30.037058,-97.815582
NA,NA,30.241889,-97.556746
NA,NA,30.31706,-97.697222
NA,NA,30.32518,-97.528715
NA,NA,30.243022,-98.003578
NA,NA,30.191641,-97.986831
NA,NA,30.432722,-97.798254
NA,NA,30.274654,-97.791959
NA,NA,30.282756,-97.480029
NA,NA,30.332274,-97.561871
NA,NA,30.376223,-97.801902
NA,NA,30.474957,-97.538736
NA,NA,30.458719,-97.653741
NA,NA,30.130445,-97.837241
NA,NA,30.336969,-97.905108
NA,NA,30.361317,-97.548144
NA,NA,30.23993,-97.578426
NA,NA,30.328665,-97.994707
NA,NA,30.357248,-97.540998
NA,NA,30.486226,-97.781982
NA,NA,30.122385,-97.597323
NA,NA,30.347787,-97.874038
NA,NA,30.219692,-97.770464
NA,NA,30.393779,-97.773029
NA,NA,30.352374,-97.753169
NA,NA,30.276442,-97.686864
NA,NA,30.513691,-97.81925
NA,NA,30.349878,-98.01653
NA,NA,30.227845,-97.739472
NA,NA,30.175178,-97.834571
NA,NA,30.107525,-97.698309
NA,NA,30.309464,-97.636456
NA,NA,30.443836,-97.792766
NA,NA,30.34134,-97.932005
NA,NA,30.449681,-97.835496
NA,NA,30.294994,-97.519294
NA,NA,30.177807,-97.840739
NA,NA,30.21655,-97.804111
NA,NA,30.460323,-97.788538
NA,NA,30.421871,-97.756475
NA,NA,30.498389,-97.699712
NA,NA,30.299911,-97.491859
NA,NA,30.356066,-97.7796
NA,NA,30.292348,-97.883644
NA,NA,30.260966,-97.801524
NA,NA,30.372095,-97.901064
NA,NA,30.364806,-97.727128
NA,NA,30.292305,-97.832661
