Zillow ID,address,zipcode,alat,alon,valuation,sqft,value sqft,neighborhood
58316011,8109 Boggy Ridge Drive,78748,30.182015,-97.795063,262808.0,1476.0,178.05,Dittmar - Cooper
29498766,8507 Caspian Drive,78749,30.199658,-97.841024,310834.0,1654.0,187.93,Woodstone Village
2132336893,950 Westbank Drive,78746,30.278708,-97.808911,805208.0,1582.0,508.98,Ledgeway
29400629,807 Park Boulevard,78751,30.301584,-97.722499,583926.0,1905.0,306.52,Hyde Park
29462460,601 Jet Lane,78742,30.235276,-97.677214,250568.0,1015.0,246.87,
29349645,4409 Jessamine Hollow,78731,30.348537,-97.776564,521321.0,2900.0,179.77,Cat Mountain
29343151,4501 Ridge Oak Drive,78731,30.329848,-97.769843,2954219.0,10778.0,274.1,Balcones Park
70339207,11201 Long Summer Drive,78754,30.359344,-97.640621,292348.0,3183.0,91.85,Pioneer Crossing East
58302468,504 East Braker Lane,78753,30.378232,-97.67872,260715.0,1264.0,206.26,Eubank Acres
29402786,5703 Coolbrook Drive,78724,30.304843,-97.656442,357860.0,2282.0,156.82,Las Cimas
62607614,5301 East Stassney Lane,78744,30.191144,-97.731127,169393.0,1169.0,144.9,McKinney
29340521,3109 Westlake Drive,78746,30.316228,-97.778918,2642750.0,5804.0,455.33,Island Way
29398288,511 Harris Avenue,78705,30.29546,-97.730816,492324.0,1728.0,284.91,Hancock
29504377,9420 Lightwood Loop,78748,30.188405,-97.838502,444641.0,3245.0,137.02,Pheasant Run
29481332,6404 Convict Hill Road,78749,30.226884,-97.870379,387678.0,2261.0,171.46,Legend Oaks
64475763,6113 Charis Court,78735,30.262235,-97.842581,1875911.0,7171.0,261.6,
29341301,1400 Ridgecrest Drive,78746,30.31778,-97.800739,1325858.0,4286.0,309.35,Windsong Estates
29367535,11339 Taylor Draper Lane,78759,30.415426,-97.75429,567949.0,2299.0,247.04,Angus Valley
79982248,3616 Sand Dunes Avenue,78742,30.19891,-97.692925,201957.0,1324.0,152.54,
29404508,7002 Millrace Drive,78724,30.30785,-97.655392,224026.0,1972.0,113.6,Las Cimas
29460810,2401 South Lakeshore Boulevard,78741,30.241655,-97.720707,,701.0,,Lakeshore
64749934,7509 Escala Drive,78735,30.270642,-97.858661,3024520.0,10828.0,279.32,
