,Zillow ID,address,zipcode,alat,alon,valuation,sqft,value sqft,neighborhood,tractCode,countyFips,stateFips,commuteTime,Region,Severity
0,29498621,8113 West Gate Boulevard,78745,30.197589,-97.828106,265572,940,282.52,Cherry Creek,1728,453,48,27.7,H7,476
1,29440641,2109 Red Stone Lane,78727,30.418454,-97.69619,249696,1359,183.74,Tomanet Estates,1848,453,48,21.4,O12,970
2,29345444,9 Glen Rock Drive,78738,30.341187,-97.984049,472040,2896,163,,1773,453,48,30.8,M2,0
3,29613796,8333 Alvin High Lane,78729,30.460441,-97.761118,307384,1983,155.01,Hunter's Chase,20411,491,48,27,Q10,62
4,29358809,5300 Valburn Circle,78731,30.374096,-97.775259,941669,4376,215.19,North Cat Mountain,1705,453,48,20.3,N9,300
5,29471589,11125 Maha Loop Road,78617,30.082419,-97.664366,212919,1960,108.63,,2436,453,48,26.7,D13,0
6,29352791,102 Javelin Drive,78734,30.360267,-97.998646,370772,2088,177.57,,1771,453,48,34.7,M2,0
7,64884422,7220 Cielo Azul Pass,78726,30.41662,-97.874616,2592410,6060,427.79,,1765,453,48,31.3,O6,0
8,29417097,2000 Brentwood Street,78757,30.340507,-97.734626,445342,1051,423.73,Abercrombie,1505,453,48,26.5,M11,1728
9,144341633,1253 Dunlap Road South,78725,30.22287,-97.566622,361665,2550,141.83,Chaparral Crossing,2207,453,48,36.5,I17,0
10,29329859,1518 Palma Plaza,78703,30.282597,-97.759718,952322,2648,359.64,Enfield,1605,453,48,16.9,K10,2152
11,29458788,403 Academy Drive,78704,30.25157,-97.7444,727568,3476,209.31,Travis Heights,1401,453,48,16.3,J10,3138
12,89657079,322 Gold Star Drive,78613,30.520886,-97.790929,327874,2736,119.84,,20317,491,48,25.2,S9,0
13,29512165,10308 Manchaca Road,78748,30.167892,-97.827473,791901,1614,490.64,Saddlewood Estates,1748,453,48,27.2,G7,482
14,64905169,9438 Zyle Road,78737,30.201895,-97.936138,399616,2128,187.79,Sunrise Country,1733,453,48,25.8,H4,51
15,70332867,12405 Gun Metal Drive,78652,30.150896,-97.857849,485188,3642,133.22,Shady Hollow,1774,453,48,31.1,F6,5
16,111967826,1712 Cinnamon Path,78704,30.242114,-97.77598,462431,2314,199.84,South Lamar,1304,453,48,22.3,I9,1680
17,55291209,17407 Breakwater Drive,78645,30.442393,-97.936912,2939610,6721,437.38,,1780,453,48,39.3,P4,0
18,29383775,16905 Decker Creek Drive,78653,30.248605,-97.550027,213631,1650,129.47,Chaparral Crossing,2207,453,48,36.5,J17,0
19,58310350,19828 Panther Drive,78660,30.482014,-97.592149,488194,3584,136.21,,1855,453,48,24.2,R16,0
20,70352618,12812 Capella Trail,78732,30.363136,-97.908427,578763,3742,154.67,,1760,453,48,33.2,N5,0
21,88017703,900 Brighton Place,78665,30.526467,-97.642224,264590,2610,101.38,,21508,491,48,26.3,S14,0
22,29329022,1400 Lorrain Street,78703,30.280848,-97.755754,2413233,4427,545.12,Clarksville,1605,453,48,16.9,K10,2152
23,29372695,10531 Grand Oak Circle,78750,30.428063,-97.800195,668818,4220,158.49,,1782,453,48,25,P8,115
24,29367490,5917 Taylor Draper Cove,78759,30.416679,-97.757561,443074,2197,201.67,Angus Valley,2500,453,48,22.1,O10,965
25,83830997,10305 Lava Lane,78747,30.122635,-97.732805,162608,1209,134.5,,2432,453,48,33.1,E11,0
26,64783442,12701 Johnson Road,78653,30.379243,-97.508738,382170,2729,140.04,,1854,453,48,40.5,N18,0
27,29338134,909 Terrace Mountain Drive,78746,30.304669,-97.804143,1321659,3026,436.77,Windsong Estates,1918,453,48,22.7,L8,28
28,29391713,22300 Ann Showers Drive,78621,30.272878,-97.465506,153986,1344,114.57,Estates at Wilbarger Creek,2210,453,48,37.2,J20,0
29,94642131,16233 Zagros Way,78738,30.325966,-97.994969,563736,3876,145.44,,1773,453,48,30.8,L2,0
30,29374480,10609 Spicewood Club Drive,78750,30.433343,-97.805793,461962,2202,209.79,,1781,453,48,27.6,P8,115
31,29466659,5406 Palo Blanco Lane,78744,30.196212,-97.749343,237236,1328,178.64,Franklin Park,2411,453,48,24.5,H10,2190
32,29481547,6701 La Concha Pass,78749,30.230108,-97.873572,410714,2438,168.46,Legend Oaks,1737,453,48,27.5,I6,373
33,124720456,8305 Lookout Cliff Pass,78737,30.231526,-97.902662,498066,3505,142.1,West Oak Hill,1733,453,48,25.8,I5,175
34,64557244,14908 Fagerquist Road,78617,30.14137,-97.605647,230484,2128,108.31,Stony Point,2435,453,48,26.7,F15,0
35,29609674,9417 Altona Way,78717,30.487015,-97.762408,430538,3286,131.02,,20510,491,48,29.9,R10,86
36,29369390,11709 Oak Knoll Drive,78759,30.424702,-97.761513,355217,1600,222.01,,2500,453,48,22.1,P10,644
37,122075572,14230 Fitzhugh Road,78736,30.242031,-98.013379,446173,1510,295.48,,10809,209,48,33.6,I1,0
38,29471895,7406 Williamson Road,78610,30.043481,-97.731288,338994,1550,218.71,,2434,453,48,32.3,C11,0
39,63228169,11613 Mill Ridge Trace,78653,30.358221,-97.544131,300164,3057,98.19,,1856,453,48,26.4,M17,0
40,80087345,901 Golden Palomino Court,78732,30.353855,-97.901546,467979,2956,158.31,,1760,453,48,33.2,M5,0
41,144352225,9910 Peterson Road,78617,30.100517,-97.633985,843528,728,1158.69,Country View Estates,2436,453,48,26.7,D14,0
42,29481920,10604 Oliver Circle,78736,30.228595,-97.944544,513072,2760,185.9,,1768,453,48,33.1,I3,0
43,29458294,20801 Trotters Lane,78660,30.491376,-97.579979,226725,1660,136.58,,1858,453,48,28.5,R16,0
44,29374133,9410 Topridge Drive,78750,30.434561,-97.797364,490648,2622,187.13,,1782,453,48,25,P9,666
45,29341202,3217 Lating Stream Lane,78746,30.317802,-97.785319,1105408,4432,249.42,Island Way,1913,453,48,23.9,L9,60
46,29402664,6613 Greensboro Drive,78723,30.307005,-97.662965,369669,1689,218.87,Las Cimas,2108,453,48,22.4,L13,1681
47,29329572,11201 Solitary Fawn Trail,78735,30.296454,-97.917115,1069202,4844,220.73,,1908,453,48,23.3,K4,0
48,70334786,7012 Doyal Drive,78747,30.151836,-97.737882,217053,1665,130.36,Thaxton Place,2426,453,48,33.7,F11,98
49,29392790,1712 Adina Street,78721,30.281868,-97.680627,285692,1080,264.53,MLK-183,2109,453,48,21.1,K13,714
50,29347491,4407 City Park Road,78730,30.356611,-97.826757,768344,2919,263.22,Long Canyon,1761,453,48,24.9,M8,87
51,29514532,2716 Arroyo Blanco Cove,78748,30.155409,-97.851394,405334,2841,142.67,Olympic Heights,1774,453,48,31.1,F7,164
52,29410961,7105 Northeast Drive,78723,30.321213,-97.678712,376801,1744,216.06,Coronado Hills,2113,453,48,31.3,L13,1681
53,202151883,85 Country Oaks Drive,78610,30.116677,-97.886274,482414,2209,218.39,,10901,209,48,34.5,E5,0
54,28604932,204 Mandan Street,78610,30.079142,-97.839185,210292,1369,153.61,,10902,209,48,32.8,D7,0
55,79980448,9608 Derecho Bend,78737,30.222492,-97.93371,492392,2350,209.53,Estates of Lewis Mountain,1733,453,48,25.8,I4,0
56,60136457,13113 Country Lake Drive,78732,30.375562,-97.902388,664325,3962,167.67,,1760,453,48,33.2,N5,0
57,60136673,2724 Zambia Drive,78613,30.47211,-97.855542,486996,3805,127.99,,1765,453,48,31.3,Q7,11
58,144980837,11811 Arnhamn Lane,78653,30.380431,-97.522848,189339,1478,128.1,Kimbro Creek Estates,1854,453,48,40.5,N18,0
59,116080915,14399 Montour Drive,78717,30.484543,-97.795501,584376,3557,164.29,,20311,491,48,26,R9,223
60,58317307,1116 Canon Yeomans Trail,78748,30.154372,-97.82707,284869,1860,153.16,Canterbury Trails,1772,453,48,27.2,F8,258
61,144291430,12700 Sparks Road,78653,30.388275,-97.503637,860539,1552,554.47,,1854,453,48,40.5,N19,0
62,58306383,3811 Tarragona Lane,78727,30.415177,-97.722098,371438,1830,202.97,Angus Valley,1828,453,48,23.6,O11,1088
63,58297816,1601 Acacia Bud Drive,78733,30.314017,-97.896431,938470,4457,210.56,,1784,453,48,25.3,L5,0
