school name,school county,alat,alon,grades,schoolScore
COWAN ELEMENTARY,TRAVIS COUNTY,30.197589,-97.828106,A-,83.34
PARMER LANE ELEMENTARY,TRAVIS COUNTY,30.418453999999997,-97.69619,C+,50.0
LAKEWAY ELEMENTARY,TRAVIS COUNTY,30.341186999999998,-97.984049,A-,83.34
LIVE OAK ELEMENTARY,WILLIAMSON COUNTY,30.460440999999996,-97.76111800000001,C,41.67
DOSS ELEMENTARY,TRAVIS COUNTY,30.374096,-97.77525899999999,A,96.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.082419,-97.664366,0,0.0
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.360266999999997,-97.998646,A-,83.34
GRANDVIEW HILLS ELEMENTARY,TRAVIS COUNTY,30.41662,-97.874616,B-,58.33
BRENTWOOD ELEMENTARY,TRAVIS COUNTY,30.340507000000002,-97.734626,B+,75.0
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.22287,-97.566622,0,0.0
MATHEWS ELEMENTARY,TRAVIS COUNTY,30.282596999999996,-97.759718,B+,75.0
TRAVIS HTS ELEMENTARY,TRAVIS COUNTY,30.25157,-97.7444,C+,50.0
RONALD REAGAN ELEMENTARY,WILLIAMSON COUNTY,30.520885999999997,-97.790929,B,66.67
KOCUREK ELEMENTARY,TRAVIS COUNTY,30.167892,-97.827473,C-,33.33
BALDWIN ELEMENTARY,TRAVIS COUNTY,30.201895,-97.936138,B+,75.0
BARANOFF ELEMENTARY,TRAVIS COUNTY,30.150896000000003,-97.857849,B+,75.0
ZILKER ELEMENTARY,TRAVIS COUNTY,30.242114,-97.77598,B,66.67
LAGO VISTA ELEMENTARY,TRAVIS COUNTY,30.442393,-97.936912,0,0.0
HORNSBY-DUNLAP ELEMENTARY,TRAVIS COUNTY,30.248604999999998,-97.550027,0,0.0
MURCHISON ELEMENTARY,TRAVIS COUNTY,30.482014000000003,-97.59214899999999,B+,75.0
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.363135999999997,-97.908427,A,96.67
DOUBLE FILE TRAIL ELEMENTARY,WILLIAMSON COUNTY,30.526466999999997,-97.642224,C,41.67
MATHEWS ELEMENTARY,TRAVIS COUNTY,30.280848,-97.75575400000001,B+,75.0
SPICEWOOD ELEMENTARY,TRAVIS COUNTY,30.428063,-97.800195,A+,100.0
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.416679,-97.757561,A,96.67
CREEDMOOR ELEMENTARY,HAYS COUNTY,30.122635,-97.732805,0,0.0
PRESIDENTIAL MEADOWS ELEMENTARY,TRAVIS COUNTY,30.379243,-97.508738,F,0.0
FOREST TRAIL ELEMENTARY,TRAVIS COUNTY,30.304669,-97.80414300000001,A+,100.0
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.272878000000002,-97.465506,D-,8.33
SERENE HILLS ELEMENTARY,TRAVIS COUNTY,30.325965999999998,-97.994969,A-,83.34
SPICEWOOD ELEMENTARY,TRAVIS COUNTY,30.433343,-97.80579300000001,A+,100.0
RODRIGUEZ ELEMENTARY,TRAVIS COUNTY,30.196212,-97.74934300000001,F,0.0
OAK HILL ELEMENTARY,TRAVIS COUNTY,30.230108,-97.873572,C+,50.0
MILLS ELEMENTARY,TRAVIS COUNTY,30.231526000000002,-97.902662,A,96.67
DEL VALLE ELEMENTARY,TRAVIS COUNTY,30.141370000000002,-97.60564699999999,D-,8.33
ELSA ENGLAND ELEMENTARY,WILLIAMSON COUNTY,30.487015000000003,-97.762408,A,96.67
KATHY CARAWAY ELEMENTARY,TRAVIS COUNTY,30.424702000000003,-97.761513,A,96.67
ROOSTER SPRINGS ELEMENTARY,HAYS COUNTY,30.242031,-98.013379,B-,58.33
CAMINO REAL ELEMENTARY,HAYS COUNTY,30.043481,-97.731288,D-,8.33
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.358221,-97.54413100000001,D+,25.0
LAURA WELCH BUSH ELEMENTARY,TRAVIS COUNTY,30.353855,-97.901546,A,96.67
POPHAM ELEMENTARY,TRAVIS COUNTY,30.100517,-97.633985,D-,8.33
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.228595000000002,-97.944544,A,96.67
DEARING ELEMENTARY,WILLIAMSON COUNTY,30.491376000000002,-97.57997900000001,0,0.0
SPICEWOOD ELEMENTARY,TRAVIS COUNTY,30.434561,-97.797364,A+,100.0
CASIS ELEMENTARY,TRAVIS COUNTY,30.317802,-97.785319,A,96.67
